Time resolution is 1 ps
Time =                    0, rst = 1, SW = 00, enable = 0, which = xxx, seg = xx
Time =                 5000, rst = 1, SW = 00, enable = 0, which = 000, seg = 03
Time =                20000, rst = 0, SW = 01, enable = 1, which = 000, seg = 03
Time =                25000, rst = 0, SW = 01, enable = 1, which = 000, seg = 9f
Time =                35000, rst = 0, SW = 01, enable = 1, which = 001, seg = 25
Time =                45000, rst = 0, SW = 01, enable = 1, which = 010, seg = 0d
Time =                55000, rst = 0, SW = 01, enable = 1, which = 011, seg = 99
Time =                65000, rst = 0, SW = 01, enable = 1, which = 100, seg = 49
Time =                75000, rst = 0, SW = 01, enable = 1, which = 101, seg = 41
Time =                85000, rst = 0, SW = 01, enable = 1, which = 110, seg = 1f
Time =                95000, rst = 0, SW = 01, enable = 1, which = 111, seg = 01
Time =               105000, rst = 0, SW = 01, enable = 1, which = 000, seg = 9f
Time =               115000, rst = 0, SW = 01, enable = 1, which = 001, seg = 25
Time =               125000, rst = 0, SW = 01, enable = 1, which = 010, seg = 0d
Time =               135000, rst = 0, SW = 01, enable = 1, which = 011, seg = 99
Time =               145000, rst = 0, SW = 01, enable = 1, which = 100, seg = 49
Time =               155000, rst = 0, SW = 01, enable = 1, which = 101, seg = 41
Time =               165000, rst = 0, SW = 01, enable = 1, which = 110, seg = 1f
Time =               175000, rst = 0, SW = 01, enable = 1, which = 111, seg = 01
Time =               185000, rst = 0, SW = 01, enable = 1, which = 000, seg = 9f
Time =               195000, rst = 0, SW = 01, enable = 1, which = 001, seg = 25
Time =               205000, rst = 0, SW = 01, enable = 1, which = 010, seg = 0d
Time =               215000, rst = 0, SW = 01, enable = 1, which = 011, seg = 99
Time =               220000, rst = 1, SW = 00, enable = 0, which = 011, seg = 99
Time =               225000, rst = 1, SW = 00, enable = 0, which = 000, seg = 03
Time =               230000, rst = 0, SW = 10, enable = 1, which = 000, seg = 03
Time =               245000, rst = 0, SW = 10, enable = 1, which = 001, seg = 49
Time =               255000, rst = 0, SW = 10, enable = 1, which = 010, seg = 0d
Time =               265000, rst = 0, SW = 10, enable = 1, which = 011, seg = 09
Time =               275000, rst = 0, SW = 10, enable = 1, which = 100, seg = 1f
Time =               285000, rst = 0, SW = 10, enable = 1, which = 101, seg = 71
Time =               295000, rst = 0, SW = 10, enable = 1, which = 110, seg = c1
Time =               305000, rst = 0, SW = 10, enable = 1, which = 111, seg = 9f
Time =               315000, rst = 0, SW = 10, enable = 1, which = 000, seg = 03
Time =               325000, rst = 0, SW = 10, enable = 1, which = 001, seg = 49
Time =               335000, rst = 0, SW = 10, enable = 1, which = 010, seg = 0d
Time =               345000, rst = 0, SW = 10, enable = 1, which = 011, seg = 09
Time =               355000, rst = 0, SW = 10, enable = 1, which = 100, seg = 1f
Time =               365000, rst = 0, SW = 10, enable = 1, which = 101, seg = 71
Time =               375000, rst = 0, SW = 10, enable = 1, which = 110, seg = c1
Time =               385000, rst = 0, SW = 10, enable = 1, which = 111, seg = 9f
Time =               395000, rst = 0, SW = 10, enable = 1, which = 000, seg = 03
Time =               405000, rst = 0, SW = 10, enable = 1, which = 001, seg = 49
Time =               415000, rst = 0, SW = 10, enable = 1, which = 010, seg = 0d
Time =               425000, rst = 0, SW = 10, enable = 1, which = 011, seg = 09
Time =               430000, rst = 1, SW = 00, enable = 0, which = 011, seg = 09
Time =               435000, rst = 1, SW = 00, enable = 0, which = 000, seg = 03
Time =               440000, rst = 0, SW = 11, enable = 1, which = 000, seg = 03
Time =               455000, rst = 0, SW = 11, enable = 1, which = 001, seg = 03
Time =               465000, rst = 0, SW = 11, enable = 1, which = 010, seg = 63
Time =               475000, rst = 0, SW = 11, enable = 1, which = 011, seg = 71
Time =               485000, rst = 0, SW = 11, enable = 1, which = 100, seg = 9f
Time =               495000, rst = 0, SW = 11, enable = 1, which = 101, seg = 09
Time =               505000, rst = 0, SW = 11, enable = 1, which = 110, seg = 1f
Time =               515000, rst = 0, SW = 11, enable = 1, which = 111, seg = 99
Time =               525000, rst = 0, SW = 11, enable = 1, which = 000, seg = 03
Time =               535000, rst = 0, SW = 11, enable = 1, which = 001, seg = 03
Time =               545000, rst = 0, SW = 11, enable = 1, which = 010, seg = 63
Time =               555000, rst = 0, SW = 11, enable = 1, which = 011, seg = 71
Time =               565000, rst = 0, SW = 11, enable = 1, which = 100, seg = 9f
Time =               575000, rst = 0, SW = 11, enable = 1, which = 101, seg = 09
Time =               585000, rst = 0, SW = 11, enable = 1, which = 110, seg = 1f
Time =               595000, rst = 0, SW = 11, enable = 1, which = 111, seg = 99
Time =               605000, rst = 0, SW = 11, enable = 1, which = 000, seg = 03
Time =               615000, rst = 0, SW = 11, enable = 1, which = 001, seg = 03
Time =               625000, rst = 0, SW = 11, enable = 1, which = 010, seg = 63
Time =               635000, rst = 0, SW = 11, enable = 1, which = 011, seg = 71
$finish called at time : 640 ns : File "/home/hewo/CS/hdu/hdu-dd/vivados/lab13/lab13.srcs/sim_1/new/diglab_Test.v" Line 58
